STATE,BUSINESS UNIT,FEEDER NAME,NON-MD SERVICE BAND,CAP (kWh),COMPANY / SOURCE
LAGOS,IKEJA BU,11-NEW ALAUSAINJ-T5-KUDIRAT,A,"1,118",Ikeja Electricity Distribution Plc (Lagos Feeders) - May 2026
LAGOS,IKEJA BU,11-NEW ALAUSAINJ-T5-MORRISON,A,986,Ikeja Electricity Distribution Plc (Lagos Feeders) - May 2026
LAGOS,IKEJA BU,11-NEW ALAUSAINJ-T6-AWOLOWO,A,"1,134",Ikeja Electricity Distribution Plc (Lagos Feeders) - May 2026
LAGOS,IKEJA BU,11-NEW ALAUSAINJ-T6-OGUNDANA,A,"1,200",Ikeja Electricity Distribution Plc (Lagos Feeders) - May 2026
LAGOS,IKEJA BU,11-OGBAINJ-T1-IJAYE,B,"1,095",Ikeja Electricity Distribution Plc (Lagos Feeders) - May 2026
LAGOS,IKEJA BU,11-OGBAINJ-T1-ISOKOKO,C,"1,052",Ikeja Electricity Distribution Plc (Lagos Feeders) - May 2026
LAGOS,IKEJA BU,11-OGBAINJ-T2-AGEGE,A,"1,025",Ikeja Electricity Distribution Plc (Lagos Feeders) - May 2026
LAGOS,IKEJA BU,11-OGBAINJ-T2-IFAKO,C,"1,119",Ikeja Electricity Distribution Plc (Lagos Feeders) - May 2026
LAGOS,IKEJA BU,11-OGBAINJ-T2-MANGORO,A,"1,090",Ikeja Electricity Distribution Plc (Lagos Feeders) - May 2026
LAGOS,IKEJA BU,11-OGBAINJ-T3-OBA AKRAN,A,"1,288",Ikeja Electricity Distribution Plc (Lagos Feeders) - May 2026
LAGOS,IKEJA BU,11-OJODUINJ-T1-ALAGBOLE,C,888,Ikeja Electricity Distribution Plc (Lagos Feeders) - May 2026
LAGOS,IKEJA BU,11-OJODUINJ-T1-KING AVENUE,A,983,Ikeja Electricity Distribution Plc (Lagos Feeders) - May 2026
LAGOS,IKEJA BU,11-OJODUINJ-T1-OJODU,A,"1,046",Ikeja Electricity Distribution Plc (Lagos Feeders) - May 2026
LAGOS,IKEJA BU,11-OJODUINJ-T2-EXPRESS,A- BILATERAL,"1,079",Ikeja Electricity Distribution Plc (Lagos Feeders) - May 2026
LAGOS,IKEJA BU,11-OJODUINJ-T2-RIVER VALLEY,A- BILATERAL,"1,121",Ikeja Electricity Distribution Plc (Lagos Feeders) - May 2026
LAGOS,IKEJA BU,11-OJODUINJ-T2-YAKOYO,B,888,Ikeja Electricity Distribution Plc (Lagos Feeders) - May 2026
LAGOS,IKEJA BU,11-OKE IRAINJ-T1-NOB OLUWA,C,898,Ikeja Electricity Distribution Plc (Lagos Feeders) - May 2026
LAGOS,IKEJA BU,11-OKE IRAINJ-T1-OKE IRA,A,908,Ikeja Electricity Distribution Plc (Lagos Feeders) - May 2026
LAGOS,IKEJA BU,11-OKE IRAINJ-T2-ABIODUN JAGUN,C,978,Ikeja Electricity Distribution Plc (Lagos Feeders) - May 2026
LAGOS,IKEJA BU,11-OKE IRAINJ-T2-KAYODE,A,"1,098",Ikeja Electricity Distribution Plc (Lagos Feeders) - May 2026
LAGOS,IKEJA BU,11-OKE IRAINJ-T2-THOMAS SALAKO,C,944,Ikeja Electricity Distribution Plc (Lagos Feeders) - May 2026
LAGOS,IKEJA BU,11-OPE ILUINJ-T1-ABORO,C,252,Ikeja Electricity Distribution Plc (Lagos Feeders) - May 2026
LAGOS,IKEJA BU,11-OPEBIINJ-T1-AGBAOKU,A,"1,136",Ikeja Electricity Distribution Plc (Lagos Feeders) - May 2026
LAGOS,IKEJA BU,11-OPEBIINJ-T1-OLUSOSUN,B,"1,102",Ikeja Electricity Distribution Plc (Lagos Feeders) - May 2026
LAGOS,IKEJA BU,11-OPEBIINJ-T1-SALVATION,A,"1,182",Ikeja Electricity Distribution Plc (Lagos Feeders) - May 2026
LAGOS,IKEJA BU,11-PTCINJ-T1-OPEBI,A,"1,092",Ikeja Electricity Distribution Plc (Lagos Feeders) - May 2026
LAGOS,IKEJA BU,11-PTCINJ-T2-AWUSE,A- BILATERAL,"1,384",Ikeja Electricity Distribution Plc (Lagos Feeders) - May 2026
LAGOS,IKEJA BU,11-PTCINJ-T2-MEDICAL,A,"1,089",Ikeja Electricity Distribution Plc (Lagos Feeders) - May 2026
LAGOS,IKEJA BU,11-PTCINJ-T3-GENERAL HOSPITAL,A- BILATERAL,"1,322",Ikeja Electricity Distribution Plc (Lagos Feeders) - May 2026
LAGOS,IKEJA BU,11-PTCINJ-T3-OBA AKINJOBI,A- BILATERAL,"1,217",Ikeja Electricity Distribution Plc (Lagos Feeders) - May 2026
LAGOS,IKEJA BU,11-PTCINJ-T3-OLOWU,A,"1,097",Ikeja Electricity Distribution Plc (Lagos Feeders) - May 2026
LAGOS,IKEJA BU,11-SECRETARIATINJ-T1-ESTATE,A,"1,207",Ikeja Electricity Distribution Plc (Lagos Feeders) - May 2026
LAGOS,IKEJA BU,11-SECRETARIATINJ-T1-LATEEF JAKANDE,A,"1,093",Ikeja Electricity Distribution Plc (Lagos Feeders) - May 2026
LAGOS,IKEJA BU,11-SECRETARIATINJ-T1-OMOLE,A,"1,162",Ikeja Electricity Distribution Plc (Lagos Feeders) - May 2026
LAGOS,IKEJA BU,11-SECRETARIAT INJ-T2-7UP,A,"1,048",Ikeja Electricity Distribution Plc (Lagos Feeders) - May 2026
LAGOS,IKEJA BU,11-SECRETARIATINJ-T2-AGIDINGBI,A,"1,131",Ikeja Electricity Distribution Plc (Lagos Feeders) - May 2026
LAGOS,IKEJA BU,11-SECRETARIATINJ-T2-UAC,A,"1,156",Ikeja Electricity Distribution Plc (Lagos Feeders) - May 2026
LAGOS,IKEJA BU,33-OKE-AROTCN-AKUTE,B,443,Ikeja Electricity Distribution Plc (Lagos Feeders) - May 2026
LAGOS,IKORODU BU,11-AJEGUNLEINJ-T1-THOMAS OLANIYAN,B,605,Ikeja Electricity Distribution Plc (Lagos Feeders) - May 2026
LAGOS,IKORODU BU,11-EPEINJ-T1-LASU,E,199,Ikeja Electricity Distribution Plc (Lagos Feeders) - May 2026
LAGOS,IKORODU BU,11-EPEINJ-T1-TOWNSHIP,E,232,Ikeja Electricity Distribution Plc (Lagos Feeders) - May 2026
LAGOS,IKORODU BU,11-EPEINJ-T1-WATER WORKS,E,235,Ikeja Electricity Distribution Plc (Lagos Feeders) - May 2026
LAGOS,IKORODU BU,11-IGBOGBOINJ-T1-BAYEKU,D,237,Ikeja Electricity Distribution Plc (Lagos Feeders) - May 2026
LAGOS,IKORODU BU,11-IGBOGBOINJ-T1-OFIN,D,351,Ikeja Electricity Distribution Plc (Lagos Feeders) - May 2026
LAGOS,IKORODU BU,11-IGBOGBOINJ-T2-AGBELE,D,349,Ikeja Electricity Distribution Plc (Lagos Feeders) - May 2026
LAGOS,IKORODU BU,11-IGBOGBOINJ-T2-ODOFIN,D,337,Ikeja Electricity Distribution Plc (Lagos Feeders) - May 2026
LAGOS,IKORODU BU,11-IJEDEINJ-T1-GBERIBE,C,251,Ikeja Electricity Distribution Plc (Lagos Feeders) - May 2026
LAGOS,IKORODU BU,11-IJEDEINJ-T1-LUWASA,D,275,Ikeja Electricity Distribution Plc (Lagos Feeders) - May 2026
LAGOS,IKORODU BU,11-IPAKODO (EBUTE) INJ-T1-ABUJA,C,370,Ikeja Electricity Distribution Plc (Lagos Feeders) - May 2026
LAGOS,IKORODU BU,11-IPAKODO (EBUTE) INJ-T1-IPAKODO,C,510,Ikeja Electricity Distribution Plc (Lagos Feeders) - May 2026
LAGOS,IKORODU BU,11-IPAKODO (EBUTE) INJ-T1-WAEC,C,500,Ikeja Electricity Distribution Plc (Lagos Feeders) - May 2026
LAGOS,IKORODU BU,11-ODOGUNYANINJ-T1-AGODO,B,506,Ikeja Electricity Distribution Plc (Lagos Feeders) - May 2026
LAGOS,IKORODU BU,11-ODOGUNYANINJ-T1-INDUSTRIAL,D,494,Ikeja Electricity Distribution Plc (Lagos Feeders) - May 2026
LAGOS,IKORODU BU,11-ODOGUNYANINJ-T2-CANTOMENT,C,481,Ikeja Electricity Distribution Plc (Lagos Feeders) - May 2026
LAGOS,IKORODU BU,11-ODOGUNYANINJ-T2-CENTEX,A,"1,072",Ikeja Electricity Distribution Plc (Lagos Feeders) - May 2026
LAGOS,IKORODU BU,11-ODOGUNYANINJ-T2-ITA OLUWO,D,492,Ikeja Electricity Distribution Plc (Lagos Feeders) - May 2026
LAGOS,IKORODU BU,11-OWUTUINJ-T1-AGRIC,B,345,Ikeja Electricity Distribution Plc (Lagos Feeders) - May 2026
LAGOS,IKORODU BU,11-OWUTUINJ-T1-ORI OKUTA,C,466,Ikeja Electricity Distribution Plc (Lagos Feeders) - May 2026
LAGOS,IKORODU BU,11-OWUTUINJ-T2-ASOLO,C,346,Ikeja Electricity Distribution Plc (Lagos Feeders) - May 2026
LAGOS,IKORODU BU,11-OWUTUINJ-T2-ISAWO,D,297,Ikeja Electricity Distribution Plc (Lagos Feeders) - May 2026
LAGOS,IKORODU BU,11-OWUTUINJ-T2-MAJIDUN,B,501,Ikeja Electricity Distribution Plc (Lagos Feeders) - May 2026
LAGOS,IKORODU BU,11-SABOINJ-T1-AYANGBUREN,C,591,Ikeja Electricity Distribution Plc (Lagos Feeders) - May 2026
LAGOS,IKORODU BU,11-SABOINJ-T1-IJEBU ODE,D,400,Ikeja Electricity Distribution Plc (Lagos Feeders) - May 2026
LAGOS,IKORODU BU,11-SABOINJ-T1-LASUNWON,C,535,Ikeja Electricity Distribution Plc (Lagos Feeders) - May 2026
LAGOS,IKORODU BU,11-SABOINJ-T1-MARY HILL,C,588,Ikeja Electricity Distribution Plc (Lagos Feeders) - May 2026
LAGOS,IKORODU BU,11-SABOINJ-T2-ERUNWEN,D,415,Ikeja Electricity Distribution Plc (Lagos Feeders) - May 2026
LAGOS,IKORODU BU,11-SABOINJ-T2-EYITA,B,601,Ikeja Electricity Distribution Plc (Lagos Feeders) - May 2026
LAGOS,IKORODU BU,11-SABOINJ-T2-IGBOGBO,D,291,Ikeja Electricity Distribution Plc (Lagos Feeders) - May 2026
LAGOS,IKORODU BU,11-SABOINJ-T2-LADEGA,D,358,Ikeja Electricity Distribution Plc (Lagos Feeders) - May 2026
LAGOS,IKORODU BU,11-SABOINJ-T2-LAGOS ROAD,C,535,Ikeja Electricity Distribution Plc (Lagos Feeders) - May 2026
LAGOS,IKORODU BU,33-IKORODUTCN-AGBOWA,D,287,Ikeja Electricity Distribution Plc (Lagos Feeders) - May 2026
LAGOS,IKORODU BU,33-IKORODUTCN-FAKALE SOURCE,A,761,Ikeja Electricity Distribution Plc (Lagos Feeders) - May 2026
LAGOS,IKORODU BU,33-IKORODUTCN-IBESHE,B,577,Ikeja Electricity Distribution Plc (Lagos Feeders) - May 2026
LAGOS,IKORODU BU,33-IKORODUTCN-IJEDE,C,342,Ikeja Electricity Distribution Plc (Lagos Feeders) - May 2026
LAGOS,IKORODU BU,33-IKORODUTCN-OWUTU,B,619,Ikeja Electricity Distribution Plc (Lagos Feeders) - May 2026
LAGOS,IKORODU BU,33-MARYLANDTCN-AJEGUNLE,B,866,Ikeja Electricity Distribution Plc (Lagos Feeders) - May 2026
LAGOS,IKORODU BU,33-MARYLANDTCN-AJEGUNLE INTERFACE,A,642,Ikeja Electricity Distribution Plc (Lagos Feeders) - May 2026
